股票代码,股票名称,当前价格,涨跌额,市盈率(TTM),市值
RBZ,Draper Oakwood(NASDAQ:RBZ),23.68,+15.04,亏损,6393.60万
CTRM,Castor Maritime(NASDAQ:CTRM),6.90,+1.85,12.26,1656.00万
KTOV,Kitov Pharma(NASDAQ:KTOV),1.50,+0.40,亏损,2915.68万
APC,阿纳达科石油(NYSE:APC),61.91,+15.11,51.45,310.73亿
TRNX,Taronis Technologies...(NASDAQ:TRNX),0.885,+0.21,亏损,823.31万
JMIA,Jumia Technologie(NYSE:JMIA),18.75,+4.25,亏损,14.32亿
IMRN,Immuron(NASDAQ:IMRN),7.48,+1.48,亏损,2606.53万
VTL,生命治疗(NASDAQ:VTL),0.925,+0.15,亏损,3940.38万
FCRE,FC Global Realty(PINK:FCRE),0.540,+0.09,-,664.64万
ENLV,Enlivex医疗(NASDAQ:ENLV),9.75,+1.43,亏损,411.24万
OXBR,Oxbridge Re(NASDAQ:OXBR),1.48,+0.18,亏损,745.37万
QD,趣店(NYSE:QD),5.86,+0.71,5.19,19.27亿
VERBW,VERB TECHNOLOGY COMP...(NASDAQ:VERBW),0.772,+0.09,-,-
BSMX,桑坦德银行-墨西哥(NYSE:BSMX),8.48,+0.98,11.04,114.85亿
MICT,微网依内太克科技(NASDAQ:MICT),1.12,+0.12,亏损,1202.23万
CUR,Neuralstem(NASDAQ:CUR),0.425,+0.05,亏损,773.90万
WISA,Summit无线技术(NASDAQ:WISA),2.15,+0.23,亏损,3456.94万
MARA,Marathon Patent(NASDAQ:MARA),3.57,+0.38,亏损,2277.65万
RGSE,Real Goods Solar (NASDAQ:RGSE),0.168,+0.02,亏损,1296.66万
WTER,The Alkaline Water(NASDAQ:WTER),2.72,+0.25,亏损,9395.62万
CXO,康休(NYSE:CXO),115.31,+10.58,10.15,231.30亿
PXD,先锋自然资源(NYSE:PXD),165.69,+14.77,28.16,279.05亿
GRNQ,Greenpro Capital(NASDAQ:GRNQ),2.48,+0.22,亏损,1.37亿
CCUR,CCUR Holdings(PINK:CCUR),3.38,+0.29,-,3343.91万
BELFA,贝尔保险丝A(NASDAQ:BELFA),22.55,+1.93,12.25,2.77亿
CYTX,赛托瑞疗法(NASDAQ:CYTX),0.350,+0.03,亏损,569.78万
DIS,迪士尼(NYSE:DIS),127.41,+10.81,17.36,1899.40亿
NVMM,Novume Solutions(NASDAQ:NVMM),0.720,+0.06,亏损,1394.47万
ADNT,Adient(NYSE:ADNT),19.83,+1.59,亏损,18.55亿
PE,Parsley Energy(NYSE:PE),19.65,+1.49,16.60,62.23亿
RBZ,Draper Oakwood(NASDAQ:RBZ),23.68,+15.04,亏损,6393.60万
